country,district_code,district,centx,centy,year,month,ipc,ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,date,province,administrative_region,quarters
South Sudan,104,Pibor,33.5681,6.396368,2018,10,4.0,0.0,0.6063594,99.67884,18.44437,-0.2248436,18.21164,-1.145654,3,0,48.39483,33147.44,28.63814,101325.0,23095.27,80.77062,2018-10-01,Greater Upper Nile,Greater Upper Nile,2018Q4
South Sudan,104,Pibor,33.5681,6.396368,2019,2,4.0,0.0,0.2498985,99.3461,2.424568,0.2307446,0.5677525,-0.3599549,0,0,56.54595,33147.44,28.63814,68442.0,23095.27,80.77062,2019-02-01,Greater Upper Nile,Greater Upper Nile,2019Q1
South Sudan,104,Pibor,33.5681,6.396368,2019,6,3.0,0.0,0.6800963,120.8642,29.50692,10.09333,24.12252,6.291559,0,0,70.17858,33147.44,28.63814,68442.0,23095.27,80.77062,2019-06-01,Greater Upper Nile,Greater Upper Nile,2019Q2
South Sudan,104,Pibor,33.5681,6.396368,2019,10,3.0,0.0,0.6490994,106.7048,38.9706,20.30139,25.626,6.268707,0,0,74.82994,33147.44,28.63814,68442.0,23095.27,80.77062,2019-10-01,Greater Upper Nile,Greater Upper Nile,2019Q4
South Sudan,104,Pibor,33.5681,6.396368,2020,2,4.0,0.0,0.4123738,163.9375,2.752766,0.5530252,7.322703,6.394996,8,13,86.82966,33147.44,28.63814,193374.9,23095.27,80.77062,2020-02-01,Greater Upper Nile,Greater Upper Nile,2020Q1
South Sudan,109,Twic East,31.3227,7.10077,2009,7,2.0,,0.5994925,90.95279,15.86984,-9.975225,19.08973,-4.18645,0,0,1.086653,5964.841,6.354869,98971.0,13655.1,90.22222,2009-07-01,Greater Upper Nile,Greater Upper Nile,2009Q3
South Sudan,109,Twic East,31.3227,7.10077,2009,10,2.0,,0.6319123,95.65027,13.01716,-0.6536332,18.61816,-2.099906,0,0,1.122999,5964.841,6.354869,98971.0,13655.1,90.22222,2009-10-01,Greater Upper Nile,Greater Upper Nile,2009Q4
South Sudan,109,Twic East,31.3227,7.10077,2010,1,1.0,,0.3009029,72.28826,0.07690865,-0.01952228,0.07428759,-0.7114734,0,0,1.132932,5964.841,6.354869,102304.0,13655.1,90.22222,2010-01-01,Greater Upper Nile,Greater Upper Nile,2010Q1
South Sudan,109,Twic East,31.3227,7.10077,2010,4,2.0,,0.2802204,69.78136,6.395401,-4.154733,0.5351854,-5.52319,0,0,1.198556,5964.841,6.354869,102304.0,13655.1,90.22222,2010-04-01,Greater Upper Nile,Greater Upper Nile,2010Q2
South Sudan,109,Twic East,31.3227,7.10077,2010,7,2.0,,0.7302897,110.7969,34.65436,8.809297,27.0678,3.791621,0,0,1.234771,5964.841,6.354869,102304.0,13655.1,90.22222,2010-07-01,Greater Upper Nile,Greater Upper Nile,2010Q3
South Sudan,109,Twic East,31.3227,7.10077,2010,10,2.0,,0.7045993,106.6526,14.15453,0.4837351,24.97272,4.254659,0,0,1.256268,5964.841,6.354869,102304.0,13655.1,90.22222,2010-10-01,Greater Upper Nile,Greater Upper Nile,2010Q4
South Sudan,109,Twic East,31.3227,7.10077,2011,1,1.0,,0.516433,124.0667,0.07685578,-0.01957514,1.524224,0.7384625,0,0,1.321218,5964.841,6.354869,104693.0,13655.1,90.22222,2011-01-01,Greater Upper Nile,Greater Upper Nile,2011Q1
South Sudan,109,Twic East,31.3227,7.10077,2011,4,1.0,,0.3761191,93.66233,3.423957,-7.126177,9.501518,3.443143,0,0,1.431221,5964.841,6.354869,104693.0,13655.1,90.22222,2011-04-01,Greater Upper Nile,Greater Upper Nile,2011Q2
South Sudan,109,Twic East,31.3227,7.10077,2011,7,2.0,,0.6964188,105.6581,28.82906,2.983996,28.58122,5.305037,0,0,1.61105,5964.841,6.354869,104693.0,13655.1,90.22222,2011-07-01,Greater Upper Nile,Greater Upper Nile,2011Q3
South Sudan,109,Twic East,31.3227,7.10077,2011,10,1.0,,0.6892891,104.3352,16.30812,2.637329,27.40992,6.691859,0,0,1.893725,5964.841,6.354869,104693.0,13655.1,90.22222,2011-10-01,Greater Upper Nile,Greater Upper Nile,2011Q4
South Sudan,109,Twic East,31.3227,7.10077,2012,1,1.0,,0.4441342,106.6978,0.07685579,-0.01957514,0.5891031,-0.1966579,1,13,2.055712,5964.841,6.354869,107083.0,13655.1,90.22222,2012-01-01,Greater Upper Nile,Greater Upper Nile,2012Q1
South Sudan,109,Twic East,31.3227,7.10077,2012,4,2.0,0.0,0.402587,100.2534,12.52091,1.970777,7.322741,1.264366,0,0,2.218955,5964.841,6.354869,107083.0,13655.1,90.22222,2012-04-01,Greater Upper Nile,Greater Upper Nile,2012Q2
South Sudan,109,Twic East,31.3227,7.10077,2012,7,2.0,0.0,0.7192377,109.1201,44.29571,18.45065,27.77849,4.502311,0,0,2.349988,5964.841,6.354869,107083.0,13655.1,90.22222,2012-07-01,Greater Upper Nile,Greater Upper Nile,2012Q3
South Sudan,109,Twic East,31.3227,7.10077,2012,10,2.0,0.0,0.6825484,103.3149,14.0984,0.427604,28.12039,7.402327,0,0,2.4379,5964.841,6.354869,107083.0,13655.1,90.22222,2012-10-01,Greater Upper Nile,Greater Upper Nile,2012Q4
South Sudan,109,Twic East,31.3227,7.10077,2013,1,2.0,0.0,0.4379959,105.2232,0.08612854,-0.01030238,2.594026,1.808265,0,0,2.226631,5964.841,6.354869,109472.0,13655.1,90.22222,2013-01-01,Greater Upper Nile,Greater Upper Nile,2013Q1
South Sudan,109,Twic East,31.3227,7.10077,2013,4,2.0,0.0,0.4215553,104.977,8.942133,-1.608001,2.582027,-3.476348,0,0,2.15093,5964.841,6.354869,109472.0,13655.1,90.22222,2013-04-01,Greater Upper Nile,Greater Upper Nile,2013Q2
South Sudan,109,Twic East,31.3227,7.10077,2013,7,2.0,0.0,0.6247684,94.78756,33.12722,7.28216,24.57239,1.296203,1,5,2.257652,5964.841,6.354869,109472.0,13655.1,90.22222,2013-07-01,Greater Upper Nile,Greater Upper Nile,2013Q3
South Sudan,109,Twic East,31.3227,7.10077,2013,10,1.0,0.0,0.6929966,104.8964,13.27331,-0.3974869,26.21217,5.4941,5,79,2.215955,5964.841,6.354869,109472.0,13655.1,90.22222,2013-10-01,Greater Upper Nile,Greater Upper Nile,2013Q4
South Sudan,109,Twic East,31.3227,7.10077,2014,1,2.0,0.0,0.4427167,106.3573,0.08532697,-0.01110396,0.4798878,-0.3058732,1,10,2.348933,5964.841,6.354869,111861.0,13655.1,90.22222,2014-01-01,Greater Upper Nile,Greater Upper Nile,2014Q1
South Sudan,109,Twic East,31.3227,7.10077,2014,4,2.0,0.0,0.4535277,112.9389,26.38222,15.83209,14.03134,7.972966,4,9,2.349829,5964.841,6.354869,111861.0,13655.1,90.22222,2014-04-01,Greater Upper Nile,Greater Upper Nile,2014Q2
South Sudan,109,Twic East,31.3227,7.10077,2014,7,3.0,0.0,0.6344494,96.25632,23.15947,-2.685592,24.26092,0.9847348,0,0,2.55121,5964.841,6.354869,111861.0,13655.1,90.22222,2014-07-01,Greater Upper Nile,Greater Upper Nile,2014Q3
